City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,moose factory,51.2585,-80.6094,48.2,49,0,12.66,CA,1651348407
230,baykit,61.67,96.37,29.91,96,95,2.13,RU,1651348407
231,bubaque,11.2833,-15.8333,77.31,72,64,12.84,GW,1651348408
232,hailar,49.2,119.7,31.69,47,61,3.13,CN,1651348408
233,adre,13.4667,22.2,86.13,11,40,5.46,TD,1651348409
234,itaqui,-29.1253,-56.5531,61.05,83,98,10.83,BR,1651348409
235,havre-saint-pierre,50.2334,-63.5986,37.76,87,100,18.41,CA,1651348409
236,campo verde,-20.4167,-54.0667,85.5,39,20,3.89,BR,1651348204
237,kamina,-8.7386,24.9906,63.81,94,38,2.64,CD,1651348410
238,saint anthony,45.0205,-93.218,52.14,92,100,16.11,US,1651348410
239,tigil,57.8,158.6667,26.82,96,94,1.79,RU,1651348411
240,atasu,48.6814,71.6433,63.23,33,22,6.76,KZ,1651348411
241,marawi,7.9986,124.2928,67.84,96,62,1.32,PH,1651348412
242,quatre cocos,-20.2078,57.7625,77.11,80,41,11.1,MU,1651348412
243,puerto escondido,15.85,-97.0667,88.14,54,3,9.22,MX,1651348413
244,lompoc,34.6391,-120.4579,82.78,62,0,21.99,US,1651348171
245,luderitz,-26.6481,15.1594,58.8,66,0,17.2,NA,1651348413
246,vila velha,-20.3297,-40.2925,84.15,79,20,9.22,BR,1651348414
247,puerto del rosario,28.5004,-13.8627,67.75,83,20,12.66,ES,1651348414
248,nakusp,50.2499,-117.8023,50.47,53,100,1.14,CA,1651348415
249,srednekolymsk,67.45,153.6833,15.71,88,83,2.1,RU,1651348415
250,faya,18.3851,42.4509,66.31,36,17,11.9,SA,1651348416
251,marzuq,14.4,46.4667,76.46,58,50,4.92,YE,1651348416
252,cody,44.5263,-109.0565,54.59,43,20,6.91,US,1651348417
253,kaili,-3.4626,120.2147,67.1,96,99,2.93,ID,1651348417
254,teahupoo,-17.8333,-149.2667,76.96,75,64,14.7,PF,1651348417
255,hambantota,6.1241,81.1185,81.25,85,100,14.29,LK,1651348418
256,aykhal,66.0,111.5,12.74,93,100,25.48,RU,1651348418
257,hasaki,35.7333,140.8333,45.0,61,100,10.38,JP,1651348419
258,knysna,-34.0363,23.0471,57.74,79,0,5.35,ZA,1651348419
259,tessalit,20.1986,1.0114,86.34,8,0,8.88,ML,1651348420
260,san joaquin,37.9333,-121.3011,78.93,36,0,14.97,US,1651348420
261,qandala,11.472,49.8728,87.12,67,17,3.13,SO,1651348421
262,wangkui,46.8333,126.5,38.1,87,100,9.91,CN,1651348421
263,kuala terengganu,5.3302,103.1408,78.75,94,20,3.44,MY,1651348422
264,auray,47.6703,-2.9918,57.74,74,100,12.08,FR,1651348268
265,chitipa,-9.7024,33.2697,61.5,97,90,3.56,MW,1651348422
266,labuhan,-6.8844,112.2051,79.23,89,100,8.5,ID,1651348423
267,paratinga,-12.6906,-43.1842,88.74,31,6,5.21,BR,1651348423
268,cidreira,-30.1811,-50.2056,65.95,70,100,9.84,BR,1651348423
269,donghai,22.9459,115.642,73.94,92,100,8.05,CN,1651348424
270,warmbad,-28.45,18.7333,60.6,24,0,4.68,NA,1651348125
271,manokwari,-0.8667,134.0833,77.23,86,100,5.77,ID,1651348425
272,crawley,51.113,-0.1831,56.64,77,0,6.91,GB,1651348231
273,chara,56.9064,118.2631,31.44,90,99,2.55,RU,1651348425
274,naze,28.3667,129.4833,63.52,75,100,12.93,JP,1651348228
275,salalah,17.0151,54.0924,83.89,76,11,5.66,OM,1651348426
276,gisborne,-38.6533,178.0042,51.89,87,2,6.33,NZ,1651348426
277,ust-omchug,61.15,149.6333,21.43,95,98,1.1,RU,1651348427
278,quang ngai,15.1167,108.8,75.04,93,73,3.78,VN,1651348427
279,finnsnes,69.2296,17.9811,32.61,93,100,4.54,NO,1651348428
280,rio linda,38.691,-121.4486,81.05,34,0,4.61,US,1651348428
